name,symbol,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,timestamp,EMA,RSI,MACD
Ravencoin,RVN,13294963739.105597,13294963739.105597,21000000000.0,2018-03-10T00:00:00.000Z,139,150,0.0222393962723495,12823346.24394759,6.9138,-1.24835523,5.18554847,1.63214236,23.03002749,57.5558674,50.17788908,295671967.020487,0.0182,467027321.72,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.022209187159103007,52.79279297136046,5.332129128449853e-05
Bitcoin Gold,BTG,17513923.589,17513923.589,21000000.0,2017-10-23T00:00:00.000Z,74,151,16.87944166664015,5412493.71550192,38.0318,-0.44087349,5.79521003,3.39511262,5.6468429,36.67497086,34.30565067,295625251.57451844,0.0182,354468275.0,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,16.653520959781762,70.07524440561244,0.10569278904225143
Theta Fuel,TFUEL,6380450903.0,6380450903.0,,2019-03-28T00:00:00.000Z,64,152,0.0461368467414484,6467849.55868439,13.6454,-0.64938009,4.16199787,-1.56004646,4.08180925,41.30921706,46.44128321,294373885.45304745,0.0181,294373885.45,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.045929160413710035,57.8094908658968,0.00013118887832628406
JUST,JST,8902080000.0,9900000000.0,9900000000.0,2020-05-07T00:00:00.000Z,114,153,0.0328417299554896,45031260.84212234,-0.729,-0.36492028,3.40713285,2.90944512,-0.48530468,43.54830979,53.56795089,292359707.40216553,0.018,325133126.56,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.03267332075940912,67.91717294380257,0.00010201023593559011
Mask Network,MASK,82112500.0,100000000.0,100000000.0,2021-02-21T00:00:00.000Z,218,154,3.5595910631373067,142452284.76688254,-8.9256,-0.383987,5.16534578,-1.9707055,7.08595416,38.9548692,38.9100418,292286921.17186207,0.018,355959106.31,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,3.5244994687953266,62.8851305046197,0.014044088245595887
yearn.finance,YFI,33236.81924727,36646.53257467,36666.0,2020-07-18T00:00:00.000Z,451,155,8569.91486902032,67387305.32168995,14.9774,-0.40537469,3.5549698,0.78416131,-13.1800615,68.2727801,58.01320271,284836711.46611995,0.0176,314224498.59,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,8540.041777400043,52.98041551160653,10.282109136256622
SuperVerse,SUPER,451694843.41691726,999998077.4169172,1000000000.0,2021-01-20T00:00:00.000Z,136,156,0.6272057112287577,57542146.2167976,117.0267,-0.76538948,19.19262967,2.90472325,464.70630098,749.20938997,701.80983837,283305585.5236699,0.0175,627205711.23,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.6130119064636984,59.20874276592245,0.006386920364738091
SushiSwap,SUSHI,231971107.77058432,250204041.8999957,,2020-08-28T00:00:00.000Z,736,157,1.2012580351229212,52080494.87331328,12.5669,-1.96020625,2.70330206,-6.36664508,28.05314771,120.01776123,94.28073165,278657157.1257795,0.0172,300559615.75,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,1.2009873151474637,47.012356126210115,0.0036067570101436797
Moonbeam,GLMR,805729005.0,1097138774.0,,2022-01-11T12:55:50.000Z,88,158,0.3426980584173583,15894602.39318264,-6.6061,-1.01862269,7.07594893,8.08941338,37.87751731,89.37713344,106.03493867,276121765.62405,0.017,375987327.66,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.3449186846544305,43.272559113736975,-0.0008992064847151426
Ethereum Name Service,ENS,30366479.29312012,100000000.0,100000000.0,2021-11-09T01:31:29.000Z,221,159,9.03040438215961,25976537.90945227,-11.9297,-1.06640594,6.99102716,-0.23261366,6.41648427,29.72196246,19.36983728,274221587.679351,0.0169,903040438.22,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,8.946174998604505,62.2930969002342,0.05405444063892517
Ankr,ANKR,10000000000.0,10000000000.0,,2019-03-06T00:00:00.000Z,261,160,0.0271226813028185,21989701.25621272,-4.4161,-0.15500362,6.51096076,0.12158746,6.89992458,38.22660143,46.07407577,271226813.0281856,0.0167,271226813.03,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.026814459174609142,68.87733023012325,0.00011366075727370709
Waves,WAVES,113273404.0,113273404.0,,2016-06-02T00:00:00.000Z,260,161,2.2952309773673907,45198936.79016163,-14.6984,-0.24795589,5.92227888,1.83148744,6.0163738,56.54296185,46.93384345,259988625.7726513,0.016,259988625.77,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,2.271733466951466,66.04727656306181,0.010115938879236452
Kusama,KSM,8470098.05726206,9651217.45126206,,2019-12-12T00:00:00.000Z,197,162,30.06146785180305,27325090.29252492,8.8164,-1.57082876,7.31389783,10.47296485,22.39231247,72.91466727,61.94318312,254623580.45000288,0.0157,290129763.14,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,30.163796536070915,49.609790250031004,0.10217185994855171
Audius,AUDIO,1174629537.0,1221056724.0,,2020-10-20T00:00:00.000Z,177,163,0.2161542808788766,7325239.57014979,-4.1455,-0.14302675,6.91993315,-0.41009274,19.01413456,50.77777419,47.45756538,253901202.86932275,0.0156,263936638.09,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.21374835306193504,74.08113199709935,0.0009616504657336544
Aragon,ANT,43179182.61504921,43179182.61504921,,2017-05-18T00:00:00.000Z,162,164,5.839866648192637,11202024.30210436,-5.0226,0.13312538,5.7451616,2.01160119,12.12031057,26.57962272,41.77259493,252160668.4498452,0.0155,252160668.45,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,5.755570720462677,85.22948738995595,0.032498462803991046
ICON,ICX,974488317.6225663,974488317.6225663,,2017-10-27T00:00:00.000Z,116,165,0.2586471824045284,6901058.80150951,4.6172,-0.50268039,5.78585126,-2.21938749,0.24506714,47.14554169,56.27086231,252048657.639206,0.0155,252048657.64,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.257755578975322,55.79627488830591,0.0004862293941668705
Golem,GLM,1000000000.0,1000000000.0,,2016-11-18T00:00:00.000Z,124,166,0.2464927733395037,5347251.78177654,-13.2621,-0.13281053,5.14730743,1.32859543,-7.54897719,38.67439731,42.2883374,246492773.33950377,0.0152,246492773.34,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.24433630825757952,75.57722910558408,0.0008714475779924569
Echelon Prime,PRIME,26271697.58785838,111111111.1,111111112.0,2023-03-01T16:41:56.000Z,37,167,9.34540377618224,6543470.32185731,3.2527,-0.76679312,18.21626578,20.05881883,92.37855137,220.89095896,134.1928569,245519621.8442896,0.0151,1038378205.66,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,8.774835448376214,81.54859015189265,0.21815528316439092
Threshold,T,9492744406.056322,11035000000.0,10515000000.0,2022-01-31T08:26:28.000Z,102,168,0.0256664729786017,14180132.32942857,7.1895,-0.18802289,7.07348612,0.39055292,3.97033568,10.26378499,46.27760469,243645267.79081792,0.015,269882963.37,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.02518502920056178,78.13701276207486,0.00021294318894609504
JOE,JOE,388579961.0,464573155.0,500000000.0,2021-08-25T21:39:22.000Z,217,169,0.6241380007650509,27888572.03470575,-13.3257,-0.97296709,4.85928981,19.47732676,84.98512897,175.75744594,161.16672,242527519.99590144,0.0149,312069000.38,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.6141771420862118,61.0503747946609,0.004575118100032971
WAX,WAXP,3385580996.861268,4096727961.9576592,,2017-12-21T00:00:00.000Z,86,170,0.0716637073250435,36332454.74746166,145.575,1.25572204,10.94566887,10.04153552,11.01895752,45.96439651,83.59937655,242623285.684295,0.0149,293586713.66,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.06998421258023542,88.50817317477704,0.0007362438089073553
ssv.network,SSV,10000000.0,11012871.0,,2021-10-22T05:12:07.000Z,94,171,24.050447725205867,18513203.37068247,-47.2469,-0.65264943,5.73008289,-4.33144544,33.53856543,82.47694083,53.84706799,240504477.25205868,0.0148,264864478.29,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,23.849323370088452,56.70638761672478,0.07667949010914654
Decred,DCR,15707976.02204111,15707976.02204111,,2016-02-10T00:00:00.000Z,71,172,15.299338221682188,1485588.2258367,-3.3666,-0.42986293,2.31290183,-3.0009341,3.40571864,25.57300339,17.80778748,240321637.9392809,0.0148,240321637.94,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,15.207435002426777,63.41360660984357,0.04972882412781843
Magic,MAGIC,256458546.73821184,347714007.0,347714007.0,2021-11-18T11:20:24.000Z,243,173,0.9176995855079082,73219823.02556583,-19.5092,-1.28913674,4.06254419,7.75445645,46.50190498,92.04542171,93.24939223,235351902.0416175,0.0145,319097000.1,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.912372744695365,55.0659309620927,0.0044365639134009704
Band Protocol,BAND,136916832.612613,141316832.612613,,2019-09-18T00:00:00.000Z,259,174,1.6961695984286334,11998963.65548968,17.7508,0.33776613,11.84512769,8.72120124,17.20263657,64.60935621,68.46747055,232234168.9906562,0.0143,239697315.22,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,1.6572178810228049,85.57922127739988,0.02215991898902958
Seedify.fund,SFUND,57011150.9992159,100000000.0,100000000.0,2021-03-29T00:00:00.000Z,80,175,4.04737948343012,12658224.1864853,2.355,1.45618724,9.74881641,35.31798531,200.04593998,584.93561601,618.54977672,230745762.88096303,0.0142,404737948.34,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,4.01640884367261,61.88282463513782,0.017196545032192034
SKALE,SKL,5024269337.0,5447166667.0,7000000000.0,2020-06-12T00:00:00.000Z,132,176,0.045250884904471,37972169.3885608,9.9658,-0.44002276,10.99946209,2.06289034,60.14159453,107.76921331,96.68434477,227352633.4976501,0.014,316756194.33,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.043762159932162106,78.23189791938098,0.0007240070373021601
IOST,IOST,18708894189.0,18708894189.0,,2018-01-16T00:00:00.000Z,140,177,0.0119809594901613,68692536.02522902,103.4248,2.97226565,16.91552934,25.29401844,31.59718039,69.52832797,69.54262391,224150503.3841236,0.0138,224150503.38,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.01122862387946817,79.04793938923041,0.00026246309219980085
Solar,SXP,587422551.5207914,587422551.5207914,,2019-08-26T00:00:00.000Z,189,178,0.381394332642846,21827072.7037841,13.1415,-0.37483352,5.59059067,-1.40771716,7.57066639,41.98559396,50.12065984,224039632.01663008,0.0138,224039632.02,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.37813588511251517,67.44534776017181,0.001543939265340577
DAO Maker,DAO,174026100.93784368,274538110.4378437,,2021-02-09T00:00:00.000Z,98,179,1.2770077354271054,10080500.21925797,30.7233,0.2445881,12.23695304,13.75715187,51.5264327,137.27140356,72.65153359,222232677.06384465,0.0137,350587290.7,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,1.2550015432786938,95.07510916444804,0.011422832093041402
Balancer,BAL,53982692.27292843,60664598.52223841,96150704.0,2020-06-24T00:00:00.000Z,555,180,4.098174858776488,9492014.2257773,3.0786,-0.18228917,3.73650593,-2.02427494,5.79914659,33.56861949,25.78089968,221230512.28198305,0.0136,394042397.79,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,4.068441963567671,61.33315101702623,0.009371220238874045
Harmony,ONE,13691640512.762896,14138490512.762917,,2019-06-01T00:00:00.000Z,164,181,0.0155102817143203,13255239.96022387,-10.6595,-0.65306442,6.40946681,3.07912064,13.95610146,68.82386003,62.65631534,212361201.48415437,0.0131,219291970.87,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.01538530596930655,56.00819057315396,5.5672433509835334e-05
